customer_id_mock,customer_segment,top_5_components
"DEMO-V1-001","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":5,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-002","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-003","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-004","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-005","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-006","Card-First Loyalists","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-007","Card-First Loyalists","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-008","Card-First Loyalists","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-009","Card-First Loyalists","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-010","Card-First Loyalists","[{""hub_component"":""sparks_wallet"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""how_it_works"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-011","Cashback Trackers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V1-012","Cashback Trackers","[{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_card"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
